mint_address,meta_address,meta_name,meta_uri,inmate_number,image_uri,genesis_order
HEpMdgH33ZVPCqQE9rBPQQ3v7bPH3bTuzkCLd98yuva7,GtJztH6nZrSHmWsQsKNnV4kbGjbLJr2qhki9n1PJzQHK,"Degen Ape #8007",https://arweave.net/alLI_R0dIq8sEJV-YXBePqGi9de86MIABEJCLrboEJo,8007,https://arweave.net/ZqQz6-svGeWy-Hp7DwtyC9EObm7T9NTXovaQuPyzXsY,361
LenPTL5yC84EnkVbsca71YX7mjvFseMyRjoKDmMgSt9,HPHXPjNYg5pLUAziKLAdgurrLis7tnjemdS9S9ChnCPW,"Degen Ape #5113",https://arweave.net/5lmRgp-D5FDJmttIjf-oW5oIfwyROywVOXCclYK4-Xc,5113,https://arweave.net/ZKLGZoOofgb1C4Ar1XqEAXt2cOqEegiHYLJQUt9mfvQ,366
81uiomiZRX6iLZcdq8p3pNVuaPiJNRamcpu6xwDnDPmQ,4qBEqcSidyvXXzb2Kk8HUwYrpWbU9uaJrb1G1ZzCcArN,"Degen Ape #1591",https://arweave.net/hvj7GpwVNS3HoxERD_1uymi8NzcPFIAFywoVH8yo5X0,1591,https://arweave.net/kHzWE3tFRAWHIwzCvvh5aI7W7mlJWKxXEkz_M6ylzM0,372
FKcmSsLwqtYfySSqHyy42mWmichDixmp93wH1yqu9GS4,EDGRavW9rr98ycURkfD6pb451VSApYcLuo2hoy1twkpN,"Degen Ape #5760",https://arweave.net/5DIEEKJtLTEEjZJNoj6fUr7-SFhkC2-FWlHnrki8MTk,5760,https://arweave.net/NTPpYkpyMF65lVSa_i8zmQza8XUum90ZRoGcbNts7SY,381
hzEDyHSKRHSPXMy7oJzmcRJjE97fe8K5yCgvSu2ufKN,HYKPSDTDArPULHG5ycsi6yq8RUDrkeRorjEcHZio6GfT,"Degen Ape #7681",https://arweave.net/Y1ip3QwW1gsRpZ694FQvfiWPhTG1XF3qORwM4luZkQs,7681,https://arweave.net/cBp6RFwmncchOL071pxZTdgmBnAI0IWZJ6sQnYmmf00,383
Ey9MqxRYjJY8kcPrEQjK8zNS9NxrHoGd9zBxGa3hHkTv,78mgyFvaH52AwfB8M5MPB2FFy6cbDmV5oouV4XtSYFTW,"Degen Ape #4171",https://arweave.net/yA9nxjr6WdlZyzzyu1ZkYHF74nNmochi0KH4xnj-01A,4171,https://arweave.net/RuvUi0AFFQsrbQ4ie7635NRfhTIMKJl_LF2Wkd9pUzk,386
8VpHfjedg1eBNgUeoBwWgAqs7HFgjNHUh686ud6WvpXT,2DnKD3dEaTzYWVwodS3UCHjSamfJkzVyNPNqiNUYvFsV,"Degen Ape #7238",https://arweave.net/RVb52jJS15zxAEMZ4AoBrg2-J4pcZRyV_K8CduA6m8E,7238,https://arweave.net/z7IF6MkhO6cwZ1bYKIpB-mfBYRqPnnNkIYf3lUfOrHo,388
CBvvgZYbTEq7HzQiDq75dDKybAyyVgL76wjDk4fMF929,DX57ngTXRztJuNYqPek1dtb21fC3uLdLPgEMd3EYVAJi,"","","","",394
9e4SPNbWSuxWLGiMeCNmNk5LzNdfn7nRWVoXpJjF31Kq,8vX5EV8AddvoWg47VmbedmY73kMwcYRX6qJTxNrv4gSs,"Degen Ape #1707",https://arweave.net/fiIxkzxEV7D2e19__HeThgROGgHuzyF8Dx-Lp1ASWmo,1707,https://arweave.net/V4wXGjqLQdPPY8i9LgLN_R3GdIW9UuNAeg0_r2h4IYM,409
62x9iQkRtUfSatJaxgRf6GcQ7AQy2gnHxVqbsLJkGfFz,3ngiF4hqyrNetYHhWZnvM3wnc7wig1EXt9A5pr7LdQFR,"Degen Ape #2496",https://arweave.net/ku4wUtrqOybFrDBxTwXve-YIqTXQS60Ohb0ApjcT50s,2496,https://arweave.net/GFeczzmbZ52W2xyenIKvyLfcpiEQUyF0mxQ4sugbwRY,416
